video_id;label_dump;label_type;timestamp;duration
vid0001.mp4;1;0.0;4.0;5.77
vid0002.mp4;0;-1;-1;5.09
vid0003.mp4;1;0.0;18.0;31.08
vid0007.mp4;0;-1;-1;9.48
vid0008.mp4;1;1.0;16.0;27.2
vid0009.mp4;0;-1;-1;31.73
vid0010.mp4;1;1.0;4.0;15.0
vid0011.mp4;0;-1;-1;25.89
vid0013.mp4;0;-1;-1;61.8
vid0014.mp4;1;1.0;8.0;9.7
vid0015.mp4;0;-1;-1;44.0
vid0016.mp4;1;0.0;6.0;21.77
vid0017.mp4;1;0.0;3.0;17.36
vid0019.mp4;1;0.0;10.0;11.64
vid0020.mp4;1;1.0;2.0;2.9
vid0024.mp4;0;-1;-1;13.93
vid0025.mp4;1;1.0;3.0;5.76
vid0026.mp4;1;0.0;11.0;13.04
vid0027.mp4;0;-1;-1;13.31
vid0028.mp4;0;-1;-1;29.36
vid0029.mp4;0;-1;-1;40.58
vid0030.mp4;0;-1;-1;22.8
vid0031.mp4;1;1.0;6.0;12.28
vid0032.mp4;1;0.0;8.0;10.54
vid0033.mp4;1;0.0;8.0;11.4
vid0034.mp4;1;0.0;7.0;12.1
vid0035.mp4;0;-1;-1;18.33
vid0036.mp4;0;-1;-1;25.0
vid0039.mp4;1;0.0;9.0;10.83
vid0041.mp4;0;-1;-1;9.91
vid0042.mp4;0;-1;-1;27.26
vid0045.mp4;1;0.0;16.0;22.2
vid0046.mp4;0;-1;-1;50.0
vid0047.mp4;1;0.0;28.0;32.84
vid0048.mp4;0;-1;-1;23.0
vid0051.mp4;1;1.0;2.0;4.4
vid0053.mp4;0;-1;-1;38.13
vid0054.mp4;1;0.0;7.0;8.27
vid0056.mp4;1;1.0;4.0;15.16
vid0059.mp4;0;-1;-1;35.36
vid0060.mp4;0;-1;-1;15.86
vid0061.mp4;1;0.0;2.0;20.28
vid0062.mp4;1;1.0;1.0;16.2
vid0064.mp4;0;-1;-1;18.44
vid0065.mp4;0;-1;-1;31.16
vid0066.mp4;1;0.0;7.0;12.13
vid0068.mp4;0;-1;-1;34.17
vid0070.mp4;1;0.0;3.0;5.5
vid0071.mp4;1;1.0;2.0;62.66
vid0072.mp4;0;-1;-1;15.18
vid0073.mp4;0;-1;-1;33.17
vid0074.mp4;0;-1;-1;15.52
vid0076.mp4;1;0.0;34.0;37.16
vid0077.mp4;0;-1;-1;28.97
vid0078.mp4;1;0.0;4.0;9.12
vid0079.mp4;1;1.0;7.0;20.0
vid0080.mp4;0;-1;-1;20.32
vid0081.mp4;1;1.0;6.0;8.93
vid0082.mp4;1;1.0;4.0;11.21
vid0083.mp4;0;-1;-1;50.48
vid0087.mp4;1;1.0;1.0;4.76
vid0089.mp4;0;-1;-1;15.0
vid0090.mp4;0;-1;-1;9.11
vid0091.mp4;1;1.0;16.0;18.3
vid0092.mp4;1;0.0;6.0;12.56
vid0096.mp4;1;0.0;5.0;7.49
vid0097.mp4;1;0.0;12.0;30.2
vid0098.mp4;0;-1;-1;15.1
vid0099.mp4;0;-1;-1;11.16
vid0102.mp4;0;-1;-1;14.43
vid0103.mp4;1;1.0;10.0;34.07
vid0104.mp4;1;1.0;8.0;24.8
vid0105.mp4;0;-1;-1;41.4
vid0106.mp4;0;-1;-1;7.0
vid0107.mp4;1;1.0;3.0;7.84
vid0108.mp4;0;-1;-1;10.32
vid0109.mp4;1;0.0;10.0;16.0
vid0110.mp4;1;0.0;6.0;22.96
vid0111.mp4;1;0.0;5.0;5.87
vid0113.mp4;1;1.0;6.0;7.92
vid0116.mp4;0;-1;-1;16.26
vid0118.mp4;0;-1;-1;16.98
vid0119.mp4;0;-1;-1;20.0
vid0120.mp4;0;-1;-1;10.0
vid0122.mp4;0;-1;-1;45.01
vid0123.mp4;0;-1;-1;10.12
vid0125.mp4;1;0.0;7.0;10.53
vid0126.mp4;1;1.0;13.0;19.99
vid0128.mp4;1;0.0;7.0;57.32
vid0131.mp4;0;-1;-1;10.88
vid0133.mp4;1;0.0;5.0;17.08
vid0136.mp4;1;1.0;10.0;12.07
vid0137.mp4;0;-1;-1;64.23
vid0139.mp4;1;0.0;9.0;9.21
vid0140.mp4;1;1.0;8.0;17.94
vid0142.mp4;1;1.0;5.0;9.36
vid0144.mp4;1;1.0;19.0;30.26
vid0145.mp4;0;-1;-1;16.0
vid0146.mp4;1;0.0;31.0;62.24
vid0147.mp4;1;0.0;13.0;21.33
vid0148.mp4;1;1.0;10.0;29.84
vid0150.mp4;1;0.0;5.0;17.04
vid0151.mp4;1;0.0;18.0;31.5
vid0152.mp4;1;0.0;5.0;7.0
vid0156.mp4;1;1.0;4.0;4.77
vid0157.mp4;1;1.0;7.0;25.96
vid0158.mp4;0;-1;-1;19.23
vid0159.mp4;0;-1;-1;30.7
vid0168.mp4;0;-1;-1;9.88
vid0169.mp4;0;-1;-1;37.77
vid0170.mp4;1;1.0;6.0;33.96
vid0172.mp4;0;-1;-1;13.28
vid0174.mp4;0;-1;-1;46.23
vid0175.mp4;1;0.0;7.0;12.43
vid0177.mp4;1;1.0;7.0;10.48
vid0178.mp4;1;1.0;8.0;12.23
vid0179.mp4;1;0.0;21.0;28.68
vid0181.mp4;1;1.0;24.0;54.32
vid0182.mp4;0;-1;-1;10.97
vid0183.mp4;1;0.0;6.0;8.17
vid0184.mp4;0;-1;-1;29.63
vid0185.mp4;1;0.0;11.0;11.86
vid0186.mp4;0;-1;-1;26.23
vid0187.mp4;1;0.0;9.0;13.27
vid0188.mp4;0;-1;-1;7.03
vid0190.mp4;0;-1;-1;30.68
vid0191.mp4;0;-1;-1;15.28
vid0193.mp4;0;-1;-1;14.85
vid0195.mp4;1;0.0;9.0;13.81
vid0196.mp4;1;1.0;14.0;61.13
vid0200.mp4;1;1.0;5.0;28.93
vid0201.mp4;1;1.0;4.0;6.16
vid0202.mp4;1;1.0;3.0;17.32
vid0203.mp4;0;-1;-1;42.79
vid0205.mp4;0;-1;-1;8.0
vid0207.mp4;1;0.0;5.0;10.66
vid0209.mp4;0;-1;-1;22.06
vid0210.mp4;0;-1;-1;27.43
vid0212.mp4;1;0.0;7.0;7.24
vid0214.mp4;0;-1;-1;49.22
vid0217.mp4;1;1.0;5.0;9.28
vid0218.mp4;0;-1;-1;35.67
vid0220.mp4;1;1.0;8.0;10.07
vid0221.mp4;0;-1;-1;28.67
vid0222.mp4;0;-1;-1;20.0
vid0223.mp4;0;-1;-1;34.43
vid0225.mp4;0;-1;-1;24.39
vid0226.mp4;0;-1;-1;12.87
vid0229.mp4;0;-1;-1;25.64
vid0230.mp4;0;-1;-1;55.79
vid0231.mp4;0;-1;-1;29.53
vid0233.mp4;1;0.0;10.0;20.6
vid0234.mp4;1;1.0;1.0;5.51
vid0238.mp4;1;0.0;28.0;58.1
vid0239.mp4;1;0.0;1.0;5.6
vid0243.mp4;1;0.0;7.0;8.87
vid0246.mp4;1;1.0;4.0;35.72
vid0247.mp4;0;-1;-1;15.4
vid0248.mp4;1;0.0;8.0;24.27
vid0250.mp4;1;0.0;8.0;12.2
vid0252.mp4;0;-1;-1;43.1
vid0254.mp4;0;-1;-1;51.6
vid0257.mp4;0;-1;-1;6.47
vid0259.mp4;1;1.0;2.0;5.6
vid0260.mp4;0;-1;-1;6.08
vid0261.mp4;0;-1;-1;25.8
vid0263.mp4;1;1.0;1.0;5.73
vid0264.mp4;0;-1;-1;4.0
vid0265.mp4;0;-1;-1;33.64
vid0267.mp4;0;-1;-1;28.5
vid0268.mp4;1;1.0;5.0;5.91
vid0271.mp4;1;0.0;12.0;29.0
vid0272.mp4;1;0.0;7.0;23.6
vid0273.mp4;1;1.0;44.0;58.12
vid0274.mp4;1;0.0;4.0;7.0
vid0276.mp4;1;0.0;7.0;8.76
vid0277.mp4;1;0.0;29.0;30.86
vid0279.mp4;0;-1;-1;28.87
vid0280.mp4;1;1.0;1.0;7.92
vid0281.mp4;0;-1;-1;25.94
vid0285.mp4;0;-1;-1;7.93
vid0286.mp4;1;1.0;20.0;22.73
vid0287.mp4;1;1.0;21.0;52.15
vid0289.mp4;0;-1;-1;18.0
vid0290.mp4;1;0.0;4.0;8.61
vid0292.mp4;1;0.0;3.0;17.87
vid0294.mp4;1;1.0;8.0;9.9
vid0295.mp4;0;-1;-1;57.17
vid0298.mp4;0;-1;-1;38.13
vid0299.mp4;1;1.0;3.0;5.91
vid0300.mp4;0;-1;-1;39.87
vid0301.mp4;0;-1;-1;12.35
vid0302.mp4;1;0.0;13.0;16.4
